commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,22.71,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,41.62,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,43.43,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,35.88,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,39.20,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,35.55,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,25.51,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,23.12,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,46.72,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,38.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,37.88,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,31.31,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,40.60,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,35.85,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,15.60,0.4651,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,10.80,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
7a25e23,40.22,0.6047,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
c41efc5,16.60,0.3953,discard,SparseHingeGAM,"Per-feature linear + hinge basis at quantile knots, LassoCV selects sparse piecewise-linear shape per feature"
1c2531b,20.46,0.4419,discard,TopKHingeGAM20,"LassoCV over per-feature linear+hinge basis (4 knots), then post-hoc keep top-20 coefficients for a compact formula"
189ac3b,18.89,0.4186,discard,LinearPlus3Hinges,RidgeCV linear model plus up to 3 greedily-selected hinge corrections; mostly linear formula with a few explicit non-linear bumps
d2b3330,19.89,0.4651,discard,RidgeHinges3_v2,RidgeCV linear part + 3 greedy hinges; equation-style output (bakes mean-shift + hinge-at-zero into intercept so point predictions work)
5d1165e,20.85,0.5116,discard,SparsePoly2,"LassoCV on [x, x^2] features per dimension; outputs a single-line polynomial equation in original units"
0bfc0ce,39.60,0.7674,discard,TopFeaturesOLS10,"LassoCV-selected top-10 features, refit via OLS; compact linear equation trying to retain high interp while improving rank"
c4f3815,32.95,0.7674,discard,AdaptiveSparseRidge15,"LassoCV picks feature set (cap 15), RidgeCV refit; compact linear equation, adaptive size"
c924db2,37.75,0.6977,discard,ContribRidge90,"RidgeCV on all features to rank by |coef * std|, keep features up to 90% cumulative contribution (cap 15), refit Ridge on subset"
e6b600a,35.62,0.6279,discard,TopFeaturesPoly2_5,"Top-5 features via LassoCV, each with linear + quadratic term, Ridge refit; compact polynomial per-feature formula"
6537951,29.92,0.5581,discard,AllRidgePlus1Quad,RidgeCV on all features + single quadratic term for the top feature; RidgeCV-style output with one extra row
ca1a50e,43.02,0.7674,keep,TopFeaturesOLS5,"LassoCV-selected top-5 features, refit via OLS; ultra-compact linear equation to reduce LLM arithmetic load (rerun in clean pool)"
860c5a7,41.88,0.7674,keep,TopFeaturesOLS8,"LassoCV-selected top-8 features, refit via OLS; slightly richer than OLS5 to trade off formula length vs rank"
476f08d,38.14,0.7674,keep,TopFeaturesOLS12,"LassoCV-selected top-12 features, refit via OLS"
380ea4d,38.65,0.7674,keep,TopFeaturesOLS20,"LassoCV-selected top-20 features, refit via OLS"
ef6a8e7,34.85,0.7209,discard,SparseRidge20,"LassoCV-selected top-20 features, refit with RidgeCV (mild L2 helps vs raw OLS when many features are correlated)"
3ee7fcf,30.46,0.7674,keep,LassoOLS_all,OLS refit on the full set of non-zero LassoCV features (no hard cap); adaptively sparse per dataset
7ef3dd2,24.86,0.6512,discard,ElasticNetOLS,"ElasticNetCV for feature selection (handles correlated features better than pure Lasso), refit via OLS"
7e060e4,34.29,0.7442,discard,MutualInfoOLS,"Mutual-information feature ranking (captures non-linear dependencies Lasso misses), keep features above 5% of max MI (cap 20), OLS refit for a compact linear equation"
0ec40c4,45.68,0.6744,discard,LassoHuber,LassoCV selects non-zero features; Huber regression refit (robust to outliers) on the selected subset; outputs the same compact linear equation as OLS-based variants
355dd73,34.52,0.7209,discard,LassoBayesRidge,LassoCV selects non-zero features; BayesianRidge refit on the selected subset (evidence-maximized shrinkage vs RidgeCV's grid); same compact linear equation
b6a2e44,36.55,0.7907,keep,ThresholdOLS,"OLS on all features, drop those whose |coef*std(x)| contribution is <2% of the top feature's, OLS refit on the retained subset"
